Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2024-02-16,39.801863,-86.455934,Indianapolis,Indiana,Apparition seen floating near old church grounds.,Morning,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2024-05-13,33.387933,-86.801284,Birmingham,Alabama,Local dog barking frantically before sighting.,Midnight,Poltergeist,
2022-01-11,30.16078,-97.967825,Austin,Texas,Curtains moved though windows were shut.,Night,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2023-11-24,41.531933,-81.814652,Cleveland,Ohio,Witness captured blurry image on phone.,Morning,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2024-06-28,29.400351,-95.342094,Houston,Texas,Apparition seen floating near old church grounds.,Midnight,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2024-03-17,41.657514,-87.710241,Chicago,Illinois,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2025-08-09,41.209272,-95.665191,Omaha,Nebraska,Curtains moved though windows were shut.,Afternoon,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2023-01-08,42.149382,-87.373714,Chicago,Illinois,Disembodied voice whispered a name.,Midnight,Shadow Figure,
2022-10-13,28.435886,-81.478755,Orlando,Florida,Flickering streetlamp coincided with sighting.,Afternoon,Poltergeist,
2021-11-06,33.47084,-86.766875,Birmingham,Alabama,Flickering streetlamp coincided with sighting.,Night,Orbs,
2024-10-18,41.190898,-89.375114,Peoria,Illinois,Figure disappeared upon approach.,Night,Phantom Sounds,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2023-09-07,32.378814,-90.09345,Jackson,Mississippi,Old radio emitted static and a faint melody.,Midnight,Phantom Sounds,
2023-04-17,38.252312,-90.865839,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Evening,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2021-12-03,32.808564,-96.633602,Dallas,Texas,Local dog barking frantically before sighting.,Night,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2025-05-30,39.81122,-85.971396,Indianapolis,Indiana,Apparition matched description of local legend.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2024-11-08,41.506715,-82.013249,Cleveland,Ohio,Figure disappeared upon approach.,Afternoon,Full-Body Apparition,
2025-08-18,41.550048,-81.428447,Cleveland,Ohio,Scent of old perfume noticed with no source.,Evening,Full-Body Apparition,
2022-05-24,38.596373,-90.232282,St. Louis,Missouri,Glowing orb photographed in backyard.,Dawn,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2023-12-15,41.000992,-96.047912,Omaha,Nebraska,Temperature dropped suddenly by 10°F.,Night,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2023-11-01,29.965673,-90.137816,New Orleans,Louisiana,Electronic devices malfunctioned during sighting.,Dawn,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2022-11-09,32.340681,-90.17749,Jackson,Mississippi,Witness reported cold spots and flickering lights.,Night,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2024-12-24,38.663067,-90.112897,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Afternoon,Shadow Figure,
2025-06-22,41.365373,-82.079986,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,Orbs,
2021-06-29,42.633512,-88.183032,Milwaukee,Wisconsin,Witness captured blurry image on phone.,Evening,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2021-11-05,41.831178,-87.433459,Chicago,Illinois,Disembodied voice whispered a name.,Night,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2023-07-05,44.858054,-93.106338,Minneapolis,Minnesota,Electronic devices malfunctioned during sighting.,Dawn,White Lady,
2023-05-03,41.591557,-93.168645,Des Moines,Iowa,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2021-05-24,25.970946,-80.213943,Miami,Florida,Figure disappeared upon approach.,Night,Phantom Sounds,
2021-03-18,30.185687,-89.970124,New Orleans,Louisiana,Witness reported cold spots and flickering lights.,Night,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2025-04-03,30.163241,-89.260832,Gulfport,Mississippi,Electronic devices malfunctioned during sighting.,Midnight,Headless Spirit,
2023-10-22,32.248989,-90.100323,Jackson,Mississippi,Old radio emitted static and a faint melody.,Afternoon,White Lady,
2024-09-01,27.905087,-82.548876,Tampa,Florida,Figure disappeared upon approach.,Afternoon,Full-Body Apparition,
2023-01-13,30.277001,-97.824388,Austin,Texas,Witness captured blurry image on phone.,Midnight,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2021-08-21,30.715944,-87.754546,Mobile,Alabama,Witness reported cold spots and flickering lights.,Afternoon,Headless Spirit,
2024-11-07,30.06667,-88.790961,Gulfport,Mississippi,Temperature dropped suddenly by 10°F.,Night,Poltergeist,
2023-12-15,25.758212,-80.148584,Miami,Florida,Electronic devices malfunctioned during sighting.,Morning,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2023-12-23,29.573965,-97.486386,Austin,Texas,Apparition seen floating near old church grounds.,Evening,Phantom Sounds,
2021-06-09,41.89652,-87.667414,Chicago,Illinois,Apparition matched description of local legend.,Morning,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2023-12-11,41.27985,-95.687156,Omaha,Nebraska,Phantom footsteps heard in empty hallway.,Dawn,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-02-17,38.277136,-97.567333,Wichita,Kansas,Figure disappeared upon approach.,Morning,Shadow Figure,
2021-12-28,38.591611,-90.655432,St. Louis,Missouri,Old radio emitted static and a faint melody.,Night,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2025-04-24,39.986101,-86.140789,Indianapolis,Indiana,Scent of old perfume noticed with no source.,Morning,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-01-18,25.770817,-80.173936,Miami,Florida,Figure disappeared upon approach.,Dawn,Orbs,
2022-10-02,41.23149,-96.040234,Omaha,Nebraska,Figure disappeared upon approach.,Night,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2024-08-03,38.528182,-90.212876,St. Louis,Missouri,Apparition seen floating near old church grounds.,Morning,Phantom Sounds,
2025-08-04,45.112989,-93.627884,Minneapolis,Minnesota,Glowing orb photographed in backyard.,Morning,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2024-05-30,37.750052,-97.127169,Wichita,Kansas,Apparition matched description of local legend.,Night,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2021-06-16,42.051947,-87.480594,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Night,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2021-07-04,25.602806,-80.251863,Miami,Florida,Phantom footsteps heard in empty hallway.,Morning,White Lady,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2023-09-09,32.829323,-96.615102,Dallas,Texas,Apparition seen floating near old church grounds.,Afternoon,Shadow Figure,
2023-10-28,40.224542,-73.813356,New York,New York,Disembodied voice whispered a name.,Dawn,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2023-10-01,29.968591,-95.28123,Houston,Texas,Temperature dropped suddenly by 10°F.,Midnight,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2022-10-28,42.036549,-87.637592,Chicago,Illinois,Witness reported cold spots and flickering lights.,Midnight,Orbs,
2025-01-21,42.346563,-87.174209,Chicago,Illinois,Figure disappeared upon approach.,Afternoon,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
2025-06-07,43.131965,-87.824508,Milwaukee,Wisconsin,Apparition seen floating near old church grounds.,Evening,Poltergeist,
2023-03-20,38.268598,-90.717925,St. Louis,Missouri,Local dog barking frantically before sighting.,Morning,Shadow Figure,
2022-09-29,28.496513,-81.348403,Orlando,Florida,Figure disappeared upon approach.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2023-07-30,29.796072,-95.494903,Houston,Texas,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2023-07-21,28.517216,-81.049509,Orlando,Florida,Apparition matched description of local legend.,Morning,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2021-08-18,38.70926,-90.017901,St. Louis,Missouri,Apparition seen floating near old church grounds.,Midnight,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2020-09-26,29.567145,-95.238758,Houston,Texas,Flickering streetlamp coincided with sighting.,Afternoon,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2024-03-26,32.754893,-96.7478,Dallas,Texas,Apparition seen floating near old church grounds.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2022-02-01,41.777404,-87.533717,Chicago,Illinois,Apparition matched description of local legend.,Afternoon,Orbs,
2023-06-03,29.802851,-95.815372,Houston,Texas,Local dog barking frantically before sighting.,Night,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2024-08-06,28.100715,-82.603902,Tampa,Florida,Witness captured blurry image on phone.,Dawn,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2021-03-14,29.734092,-89.778166,New Orleans,Louisiana,Witness reported cold spots and flickering lights.,Dawn,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2023-04-15,39.293326,-83.61644,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Afternoon,Shadow Figure,
2024-01-11,32.427086,-90.198047,Jackson,Mississippi,Local dog barking frantically before sighting.,Night,White Lady,
2020-10-29,39.947509,-76.068979,Philadelphia,Pennsylvania,Local dog barking frantically before sighting.,Morning,Shadow Figure,
2021-03-31,41.815147,-87.745905,Chicago,Illinois,Curtains moved though windows were shut.,Afternoon,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2025-09-15,30.033062,-90.121189,New Orleans,Louisiana,Phantom footsteps heard in empty hallway.,Afternoon,Phantom Sounds,
2021-01-11,33.363443,-86.851355,Birmingham,Alabama,Flickering streetlamp coincided with sighting.,Dawn,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2023-10-16,28.868756,-81.328212,Orlando,Florida,Phantom footsteps heard in empty hallway.,Night,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2022-09-17,39.7829,-85.631528,Indianapolis,Indiana,Phantom footsteps heard in empty hallway.,Night,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2025-07-13,39.611423,-104.92002,Denver,Colorado,Figure disappeared upon approach.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2021-08-22,40.304713,-74.910737,Philadelphia,Pennsylvania,Temperature dropped suddenly by 10°F.,Midnight,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-09-17,33.703079,-86.661728,Birmingham,Alabama,Electronic devices malfunctioned during sighting.,Morning,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2022-02-05,28.446081,-81.724366,Orlando,Florida,Apparition matched description of local legend.,Midnight,Poltergeist,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2022-12-25,29.989253,-90.019291,New Orleans,Louisiana,Electronic devices malfunctioned during sighting.,Afternoon,Orbs,
2025-06-19,30.243847,-96.972278,Austin,Texas,Apparition seen floating near old church grounds.,Midnight,Headless Spirit,
2025-08-09,41.396333,-95.847356,Omaha,Nebraska,Scent of old perfume noticed with no source.,Dawn,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2025-05-10,33.558112,-86.713112,Birmingham,Alabama,Witness captured blurry image on phone.,Evening,Headless Spirit,
2022-08-30,30.137717,-97.881014,Austin,Texas,Apparition matched description of local legend.,Afternoon,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2025-08-23,45.173503,-93.288724,Minneapolis,Minnesota,Apparition matched description of local legend.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2024-09-10,29.719194,-95.269284,Houston,Texas,Glowing orb photographed in backyard.,Afternoon,Orbs,
2021-08-27,28.604768,-81.288805,Orlando,Florida,Apparition matched description of local legend.,Dawn,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2020-11-11,39.841059,-105.274216,Denver,Colorado,Scent of old perfume noticed with no source.,Night,Full-Body Apparition,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2022-03-19,40.583784,-89.513046,Peoria,Illinois,Apparition matched description of local legend.,Morning,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-02-17,40.861286,-89.576068,Peoria,Illinois,Witness captured blurry image on phone.,Morning,Headless Spirit,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2022-03-26,28.502833,-81.692689,Orlando,Florida,Old radio emitted static and a faint melody.,Dawn,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2020-11-21,41.812826,-87.606267,Chicago,Illinois,Glowing orb photographed in backyard.,Night,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2022-08-29,39.837285,-85.724505,Indianapolis,Indiana,Apparition matched description of local legend.,Evening,Full-Body Apparition,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2023-04-04,39.761888,-75.602813,Philadelphia,Pennsylvania,Flickering streetlamp coincided with sighting.,Morning,Headless Spirit,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2021-11-29,28.708184,-81.083728,Orlando,Florida,Flickering streetlamp coincided with sighting.,Midnight,White Lady,
2020-09-27,45.294058,-93.205506,Minneapolis,Minnesota,Figure disappeared upon approach.,Night,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2024-07-01,41.969558,-87.493963,Chicago,Illinois,Witness captured blurry image on phone.,Dawn,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2024-05-21,34.25055,-118.21932,Los Angeles,California,Disembodied voice whispered a name.,Night,Full-Body Apparition,
2023-11-21,39.849617,-83.109722,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Poltergeist,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2024-09-02,32.456743,-96.949066,Dallas,Texas,Electronic devices malfunctioned during sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2025-01-26,29.665017,-98.424179,San Antonio,Texas,Phantom footsteps heard in empty hallway.,Midnight,Shadow Figure,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2022-03-01,29.844526,-95.787423,Houston,Texas,Figure disappeared upon approach.,Evening,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2025-06-10,32.780159,-96.587684,Dallas,Texas,Old radio emitted static and a faint melody.,Morning,Orbs,
2020-10-20,37.358861,-97.602922,Wichita,Kansas,Glowing orb photographed in backyard.,Evening,Orbs,
2023-07-31,29.641568,-95.243921,Houston,Texas,Flickering streetlamp coincided with sighting.,Night,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2023-02-01,41.132645,-89.953562,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Night,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-09-16,40.065151,-86.696183,Indianapolis,Indiana,Local dog barking frantically before sighting.,Dawn,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2022-02-21,29.785877,-95.556176,Houston,Texas,Glowing orb photographed in backyard.,Midnight,Orbs,
2023-03-29,41.429964,-94.151369,Des Moines,Iowa,Glowing orb photographed in backyard.,Dawn,Full-Body Apparition,
2025-08-22,29.579701,-98.359973,San Antonio,Texas,Electronic devices malfunctioned during sighting.,Midnight,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2022-05-04,30.424823,-97.594702,Austin,Texas,Local dog barking frantically before sighting.,Afternoon,Phantom Sounds,
2022-05-30,27.884822,-81.371724,Orlando,Florida,Electronic devices malfunctioned during sighting.,Evening,Poltergeist,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2025-07-27,34.222829,-118.013672,Los Angeles,California,Flickering streetlamp coincided with sighting.,Night,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2021-02-04,29.787792,-95.176812,Houston,Texas,Phantom footsteps heard in empty hallway.,Night,Orbs,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2020-12-21,39.89376,-82.881687,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2025-07-08,29.66853,-95.262949,Houston,Texas,Old radio emitted static and a faint melody.,Afternoon,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-03-09,40.792206,-89.693526,Peoria,Illinois,Curtains moved though windows were shut.,Morning,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2022-07-28,29.970527,-90.071195,New Orleans,Louisiana,Electronic devices malfunctioned during sighting.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2023-02-06,41.992844,-88.067066,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Night,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
